season,week,team,inactive_tokens,inactive_count
2024,2,CHI,dominiquerobinson:DL:1|keenanallen:WR:1|khariblasingame:FB:1|kiranamegadjie:OL:1|noahsewell:LB:1|velusjones:WR:1,6
2024,2,CIN,amariusmims:OT:1|cedricjohnson:DE:1|krisjenkins:DT:1|tannermclachlan:TE:1|teehiggins:WR:1,5
2024,2,CLE,davidnjoku:TE:1|dorianthompsonrobinson:QB:1|jackconklin:T:1|jamarithrash:WR:1|javioncohen:G:1|jedrickwills:T:1|kahlefhailassie:CB:1,7
2024,2,DAL,andrewbooth:CB:1|buddyjohnson:LB:1|jakeferguson:TE:1|johnstephens:TE:1|mattwaletzko:OT:1|ryanflournoy:WR:1|treylance:QB:1,7
2024,2,DEN,blakewatson:RB:1|devaughvele:WR:0|eyiomauwazurike:DL:1|frankcrum:OT:1|krisabramsdraine:CB:1|lucaskrull:TE:1|zachwilson:QB:1,7
2024,2,DET,colbysorsdal:OL:1|ennisrakestraw:CB:1|giovannimanu:OL:1|ifeatumelifonwu:S:1|isaiahwilliams:WR:1|marcusdavenport:DL:1|trevornowaske:LB:1,7
2024,2,GB,andredillard:T:1|brentoncox:DL:1|colbywooden:DL:1|jordanlove:QB:1|kitanoladapo:S:1|travisglover:T:1,6
2024,2,HOU,dameonpierce:RB:1|jamalhill:LB:1|johnmetchie:WR:1|juicescruggs:OL:1|mjstewart:S:1|rashadweaver:LB:1,6
2024,2,IND,blakefreeland:T:1|genardavery:DE:1|joshdowns:WR:1|julianblackmon:S:1|samehlinger:QB:1|tanorbortolini:G:1|willmallory:TE:1,7
2024,2,JAX,colevanlanen:OL:1|darnellsavage:S:1|javonfoster:OL:1|jordanjefferson:DT:1|maasonsmith:DT:1|tylerlacy:DT:1,6
2024,2,KC,cameronthomas:DL:1|cjhanson:OL:1|ethandriskell:OL:1|marlontuipulotu:DL:1,4
2024,2,LAC,alohigilman:S:1|brendenrice:WR:1|jordanmcfadden:OL:1|justineboigbe:DL:1|kimanividal:RB:1|tarheebstill:CB:1|taylorheinicke:QB:1,7
2024,2,LAR,brennanjackson:LB:1|codyschrader:RB:1|davisallen:TE:1|dylanmcmahon:OL:1|tylerdavis:DL:1,5
2024,2,LV,decamerionrichardson:CB:1|dylanlaube:RB:1|jacksonpowersjohnson:G:1|ramelkeyton:WR:1|thomasharper:S:1|tyreewilson:DE:1|tyreikmcallister:WR:1,7
2024,2,MIA,andrewmeyer:C:1|channingtindall:ILB:1|ethanbonner:CB:1|malikwashington:WR:1|mohamedkamara:OLB:1|raheemmostert:RB:1,6
2024,2,MIN,brettrypien:QB:1|dwightmcglothern:CB:1|fabianmoreau:CB:1|jalenredmond:DL:1|jordanaddison:WR:1|levidrakerodriguez:DL:1|walterrouse:T:1,7
2024,2,NE,curtisjacobs:LB:1|demontreyjacobs:T:1|joemilton:QB:1|kayshonboutte:WR:1|sidysow:G:1,5
2024,2,NO,atperry:WR:1|dallinholker:TE:1|damarcojackson:LB:0|jaylanford:LB:1|khalensaunders:DT:1|marshonlattimore:CB:1|spencerrattler:QB:1,7
2024,2,NYG,anthonyjohnson:S:1|carlosbasham:LB:1|dariusmuasau:LB:1|jakekubas:G:1|nickmccloud:CB:1|tommydevito:QB:1,6
2024,2,NYJ,carterwarren:OL:1|djreed:CB:1|ericwatts:DL:1|israelabanikada:RB:0|leonardtaylor:DL:1|maxmitchell:OL:1,6
2024,2,PHI,ajbrown:WR:1|byronyoung:DT:1|dariankinnard:OL:1|devinwhite:LB:1|eliricks:CB:1|tannermckee:QB:1|trevorkeegan:G:1,7
2024,2,PIT,deanlowry:DE:1|isaacseumalo:G:1|jalenelliott:SS:1|romanwilson:WR:1|russellwilson:QB:1|terrelledmunds:S:1,6
2024,2,SEA,georgefant:T:1|kennethwalker:RB:1|michaeljerrell:T:1|oluoluwatimi:C:1|pharaohbrown:TE:1|sataoalaumea:G:1|uchennanwosu:LB:1,7
2024,2,SF,benbartch:OL:1|darrellluter:CB:1|deewinters:LB:1|joshuadobbs:QB:1|talanoahufanga:S:1,5
2024,2,TB,antoniewinfield:S:0|benstille:DL:1|calijahkancey:DL:1|devinculp:TE:1|joseramirez:LB:1|joshhayes:CB:1|lukegoedeke:OL:1,7
2024,2,TEN,calebmurphy:OLB:1|davidmartinrobinson:TE:1|jameswilliams:LB:1|johnojukwu:OL:1|juliuswood:DB:1|thomasodukoya:TE:1,6
2024,2,WAS,chrispaul:G:1|darrickforrest:S:1|dominiquehampton:LB:1|emmanuelforbes:CB:1|jamindavis:LB:1|jamisoncrowder:WR:1|samhartman:QB:1,7
2024,3,ARI,darrenhall:CB:1|jesseluketa:LB:1|jongaines:OL:1|kelvinbeachum:OL:1|travisvokolek:TE:1|victordimukeje:LB:1|xavierweaver:WR:1,7
2024,3,ATL,brandondorlus:DL:1|brandonparker:T:1|jasemcclellan:RB:1|jovaughngwyn:OL:1|rukeorhorhoro:DL:1,5
2024,3,BAL,adisaisaac:LB:1|beaubrade:S:1|brenturban:DL:1|devontezwalker:WR:1|nicksamac:OL:1|salaaumavaelaulu:OL:0|tjtampa:CB:1,7
2024,3,BUF,edefuanulofoshio:LB:1|mikeedwards:S:1|ryanvandemark:OT:1|taronjohnson:CB:1|terrelbernard:LB:1,5
2024,3,CAR,andrewraym:C:1|jarrettkingston:OL:1|messiahswinson:TE:1|shemarbartholomew:CB:1|shytuttle:DT:1|tariqcastrofields:CB:1,6
2024,3,CHI,dominiquerobinson:DE:1|keenanallen:WR:1|khariblasingame:FB:1|noahsewell:LB:1|velusjones:RB/WR:1|zacchpickens:DT:1,6
2024,3,CIN,bjhill:DT:1|jaxsonkirkland:G:1|sheldonrankins:DT:1|tannerhudson:TE:1|tannermclachlan:TE:1|trentonirwin:WR:1,6
2024,3,CLE,davidnjoku:TE:1|dorianthompsonrobinson:QB:1|jackconklin:T:1|jamarithrash:WR:1|javioncohen:G:1|kahlefhailassie:CB:1|pierrestrong:RB:1,7
2024,3,DAL,andrewbooth:CB:1|buddyjohnson:LB:1|johnstephens:TE:1|mattwaletzko:OL:1|ryanflournoy:WR:1|treylance:QB:1|tyruswheat:DL:1,7
2024,3,DEN,blakewatson:RB:1|devaughnvele:WR:1|eyiomauwazurike:DL:1|jlskinner:S:1|krisabramsdraine:CB:1|lucaskrull:TE:1|zachwilson:QB:1,7
2024,3,DET,alexanzalone:LB:1|colbysorsdal:OL:1|ennisrakestraw:CB:1|giovannimanu:OL:1|ifeatumelifonwu:S:1|isaiahwilliams:WR:1|jameshouston:LB:1,7
2024,3,GB,brentoncox:DL:1|carringtonvalentine:CB:1|colbywooden:DL:1|jordanlove:QB:1|jordanmorgan:G/T:1|kitanoladapo:S:1|travisglover:T:1,7
2024,3,HOU,dameonpierce:RB:1|jamalhill:LB:1|jarrettpatterson:OL:1|joemixon:RB:1|johnmetchie:WR:1|mylesbryant:CB:1|rashadweaver:DE:1,7
2024,3,IND,blakefreeland:T:1|genardavery:DE:1|samelinger:QB:0|tanorbortolini:G:1|willmallory:TE:1,5
2024,3,JAX,colevanlanen:OL:1|darnellsavage:S:1|eseziotomewo:DT:1|evanengram:TE:1|javonfoster:OL:1|jordanjefferson:DT:1|mylescole:DE:1,7
2024,3,KC,cjhanson:G:1|ethandriskell:OT:1|marlontuipulotu:DT:1|thomascameron:DE:0,4
2024,3,LAC,jordanmcfadden:OL:1|joshuapalmer:WR:0|juniorcolson:LB:1|justineboigbe:DL:1|kimanividal:RB:1|tarheebstill:CB:1,6
2024,3,LAR,brennanjackson:LB:1|codyschrader:RB:1|cooperkupp:WR:1|davisallen:TE:1|geronchristian:OT:1|stetsonbennett:QB:1,6
2024,3,LV,decamerionrichardson:CB:1|divinedeablo:LB:1|dylanlaube:RB:1|jordanmeredith:G:1|ramelkeyton:WR:1|tyreikmcallister:WR:1,6
2024,3,MIA,andrewmeyer:C:1|channingtindall:LB:1|ethanbonner:CB:1|malikwashington:WR:1|mohamedkamara:OLB:1|raheemmostert:RB:1|tylerhuntley:QB:1,7
2024,3,MIN,brettrypien:QB:1|dallasturner:LB:1|dwightmcglothern:CB:1|ivanpace:LB:1|jordanaddison:WR:1|levidrakerodriguez:DL:1|walterrouse:T:1,7
2024,3,NE,jamreekromah:DE:1|jawhaunbentley:LB:1|joemilton:QB:1|marcowilson:CB:1|sidysow:OL:1|vederianlowe:OT:1,6
2024,3,NO,atperry:WR:1|bubmeans:WR:1|dmarcojackson:LB:1|khalensaunders:DT:1|spencerrattler:QB:1|taysomhill:TE:1,6
2024,3,NYG,anthonyjohnson:S:1|bentonwhitley:LB:1|boogiebasham:OLB:0|jakekubas:OL:1|nickmccloud:CB:1|tommydevito:QB:1|trehawkins:CB:1,7
2024,3,NYJ,carterwarren:OT:1|cjmosley:LB:1|ericwatts:DE:1|israelabanikanda:RB:1|jarrickbernardconverse:CB:1|maxmitchell:OT:1,6
2024,3,PHI,ajbrown:WR:1|byronyoung:DT:1|dariankinnard:OL:1|devinwhite:LB:1|eliricks:CB:1|tannermckee:QB:1|trevorkeegan:G:1,7
2024,3,PIT,dariusrush:CB:1|isaacseumalo:G:1|mycolepruitt:TE:1|romanwilson:WR:1|russellwilson:QB:1|terrelledmunds:FS:1,6
2024,3,SEA,jeromebaker:LB:1|kenwalker:RB:0|michaeljerrell:OT:1|mylesadams:DE:1|oluoluwatimi:C:1|sataoalaumea:G:1|uchennanwosu:LB:1,7
2024,3,SF,benbartch:OL:1|darrellluter:CB:1|deebosamuel:WR:1|georgekittle:TE:1|joshuadobbs:QB:1|tatumbethune:LB:1,6
2024,3,TB,antoinewinfield:S:1|calijahkancey:DL:1|devinculp:TE:1|joseramirez:LB:1|kameronjohnson:WR:1|lukegoedeke:OT:1|vitavea:DL:1,7
2024,3,TEN,calebmurphy:LB:1|davidmartinrobinson:TE:1|jabarismall:RB:1|jameswilliams:LB:1|johnojukwu:OL:1|juliuswood:DB:1|thomasodukoya:TE:1,7
2024,3,WAS,chrispaul:G:1|clelinferrell:DE:1|colsonyankoff:TE:1|darrickforrest:S:1|dominiquehampton:LB:1|emmanuelforbes:CB:1|samhartman:QB:1,7
2024,4,ARI,darrenhall:S:1|jesseluketa:LB:1|jongaines:OL:1|khyiristonga:DL:1|naquanjones:DL:1|treymcbride:TE:1|xavierweaver:WR:1,7
2024,4,ATL,brandondorlus:DL:1|brandonparker:OL:1|jasemcclellan:RB:1|jovaughngwyn:OL:1|kalebmcgary:OL:1|rukeorhorhoro:DL:1,6
2024,4,BAL,andrewvorhees:G:1|beaubrade:FS:1|devontezwalker:WR:1|michaelpierce:NT:1|nicksamac:C:1,5
2024,4,BUF,edefuanulofoshio:LB:1|mikeedwards:S:1|taronjohnson:CB:1|terrelbernard:UNK:1|willclapp:OL:1,5
2024,4,CAR,damienlewis:LG:1|jarrettkingston:G:1|lonniejohnson:S:1|mikeboone:RB:1|shytuttle:DT:1|tariqcastrofields:CB:1|tarronjackson:OLB:1,7
2024,4,CHI,billmurray:OL:1|dominiquerobinson:DL:1|khariblasingame:FB:1|terellsmith:DB:1|velusjones:WR:1|zacchpickens:DL:1,6
2024,4,CIN,bjhill:DT:1|sheldonrankins:DT:1|tannerhudson:TE:1|tannermclachlan:TE:1,4
2024,4,CLE,davidnjoku:TE:1|dorianthompsonrobinson:QB:1|jackconklin:OT:1|jamarithrash:WR:1|jedrickwills:OT:1|kahlefhailassie:CB:1|pierrestrong:RB:1,7
2024,4,DAL,caelencarson:CB:1|johnstephens:TE:1|markquesebell:S:1|mattwaletzko:OT:1|ryanflournoy:WR:1|treylance:QB:1|tyruswheat:DE:1,7
2024,4,DEN,blakewatson:RB:1|devaughnvale:WR:0|eyiomauwazurike:DL:1|jlskinner:S:1|krisabramsdraine:CB:1|lucaskrull:TE:1|zachwilson:QB:1,7
2024,4,DET,brianbranch:DB:1|frankragnow:C:1|giovannimanu:OL:1|isaiahwilliams:WR:1,4
