season,rows,columns,bytes,sha256,file
2018,17414,150,831266,0f66ef38e0ec7a87179f82f98d6acca11d65c806f0abeeee02d9c00e63f60fe7,data/research_cache/nflverse_player_weekly/player_weekly_2018.parquet
2019,17362,150,830136,7a1bb042bdf7df3730e1e27aa0c1c6f928c36a1b2ed6fea97aaa051516cb9385,data/research_cache/nflverse_player_weekly/player_weekly_2019.parquet
2020,17602,150,844614,a966723f383f1f15ee8aa64ea3740aa83c834095dd9e3a85715020f088ad1de2,data/research_cache/nflverse_player_weekly/player_weekly_2020.parquet
2021,18969,150,885926,fbeaa40a5198da7aa23d1d39f510b213a9bcb28217783a0553aa0a03184ec8d3,data/research_cache/nflverse_player_weekly/player_weekly_2021.parquet
2022,18831,150,878462,81a26e93808eb07e9b8865122465353856d92189d18e873d5d5fb54dad1f81da,data/research_cache/nflverse_player_weekly/player_weekly_2022.parquet
2023,18643,150,877119,bf1dd5c4a6db83386d5381e4d6e478b9026bf6862aa6159a1558e69b5b9b3ed8,data/research_cache/nflverse_player_weekly/player_weekly_2023.parquet
2024,18983,150,879853,53474df417b5e9ebcdb23bcc648c64d4a3bfbf8b7aaffaccd2f01f33a360e018,data/research_cache/nflverse_player_weekly/player_weekly_2024.parquet
2025,19422,150,885875,0435fb1d05265a5348c00a43532792a3dfca7bd25f3fc17018f0b0637bad4a3d,data/research_cache/nflverse_player_weekly/player_weekly_2025.parquet
