market,tier,matched_rows,decided_bets,wins,losses,win_rate,units,roi_per_unit,model_mae,vegas_mae
rush_yards,ALL_NO_FILTER,2772,2772,1412,1360,0.5093795093795094,-99.71025120978766,-0.03597050909443999,20.655323095205713,19.078282828282827
rush_yards,LEAN_OR_STRONG,2620,2620,1339,1281,0.5110687022900763,-84.17426704070073,-0.03212758283996211,20.947839656483765,19.292748091603052
rush_yards,STRONG_ONLY_PLAY_TIER,2461,2461,1267,1194,0.514831369362048,-60.773020807015456,-0.024694441611952642,21.3924040545404,19.636123527021535
rec_yards,ALL_NO_FILTER,5863,5863,3008,2855,0.5130479276820741,-202.8906098196622,-0.034605254958154905,20.860441079500685,19.80428108476889
rec_yards,LEAN_OR_STRONG,5545,5545,2852,2693,0.5143372407574391,-178.24613574207638,-0.03214538065682171,20.92107094027217,19.802614968440036
rec_yards,STRONG_ONLY_PLAY_TIER,5232,5232,2709,2523,0.5177752293577982,-133.71806159589642,-0.025557733485454207,21.019309700714583,19.840405198776757
rush_rec_yards,ALL_NO_FILTER,2626,2626,1328,1298,0.5057121096725057,-136.885998808633,-0.05212718918835986,32.528235265984,27.197258187357196
rush_rec_yards,LEAN_OR_STRONG,2539,2539,1287,1252,0.5068924773532887,-126.51840987582668,-0.04983001570532756,32.963745688559015,27.43107522646711
rush_rec_yards,STRONG_ONLY_PLAY_TIER,2481,2481,1259,1222,0.5074566706972995,-120.95089672536155,-0.04875086526616749,33.154036707664574,27.492341797662235
receptions,ALL_NO_FILTER,5712,5712,3082,2630,0.5395658263305322,-44.78419686272242,-0.00784037059921611,1.619005731998448,1.5325630252100841
receptions,LEAN_OR_STRONG,5481,5481,2959,2522,0.5398649881408502,-38.81311473239909,-0.007081392945155828,1.625046393709128,1.5341178617040685
receptions,STRONG_ONLY_PLAY_TIER,5254,5254,2853,2401,0.5430148458317472,-6.393127368821176,-0.0012168114520025078,1.6367178356974765,1.540921202893034
ALL_MARKETS,ALL_NO_FILTER,16973,16973,8830,8143,0.5202380250986861,-484.27105670080533,-0.028531848035162042,16.156732941652734,14.680463088434573
ALL_MARKETS,LEAN_OR_STRONG,16185,16185,8437,7748,0.521285140562249,-427.7519273910028,-0.02642891117645986,16.28004373499955,14.730213160333642
ALL_MARKETS,STRONG_ONLY_PLAY_TIER,15428,15428,8088,7340,0.5242416385792067,-321.83510649709456,-0.020860455437976055,16.429492825566047,14.806455794659062
