market,dimension,value,n,win_rate,roi_per_unit,n_2024,roi_2024,n_2025,roi_2025,positive_in_both_seasons_min_n,bet_pool
rec_yards,component_sd_q,SD_Q3,2287,0.5142107564494972,-0.03096553877216215,1162,-0.07831830280290579,1125,0.01794460505337036,False,STRONG_EDGE_ONLY
rec_yards,component_sd_q,SD_Q1_LOW,35,0.45714285714285713,-0.1434367147508697,15,0.12339447991621907,20,-0.34356011075118625,False,STRONG_EDGE_ONLY
rec_yards,prob_edge_q,EDGE_Q3,1242,0.5201288244766505,-0.01994185230927617,652,-0.06728006224398243,590,0.03237088138128059,False,STRONG_EDGE_ONLY
rec_yards,prob_edge_q,EDGE_Q2,1609,0.5208203853325046,-0.02021650161460272,839,-0.06674597314074952,770,0.030482493983367612,False,STRONG_EDGE_ONLY
rec_yards,prob_edge_q,EDGE_Q4_HIGH,1319,0.5140257771038665,-0.030557332510031895,644,-0.029663937596694823,675,-0.03140969743475645,False,STRONG_EDGE_ONLY
rec_yards,prob_edge_q,EDGE_Q1_LOW,1191,0.5054575986565911,-0.049456917834985306,624,-0.06464979950184462,567,-0.03273670943971157,False,STRONG_EDGE_ONLY
rec_yards,side,OVER,1472,0.5183423913043478,-0.026502723117311344,760,-0.04462359458068838,712,-0.007160219869886409,False,STRONG_EDGE_ONLY
rec_yards,side,UNDER,3889,0.5145281563383903,-0.030211476975966586,1999,-0.06273016051438955,1890,0.004182622703032105,False,STRONG_EDGE_ONLY
receptions,home_away,HOME,2583,0.5420054200542005,-0.0003099080349830696,1309,-0.01998791377067391,1274,0.019908702253886093,False,STRONG_EDGE_ONLY
receptions,home_away,AWAY,2784,0.5395114942528736,-0.01033023900101746,1379,-0.02748606096895054,1405,0.006508108681388028,False,STRONG_EDGE_ONLY
receptions,week_bucket,MID_7_12,1765,0.545042492917847,0.0061241618425830905,884,-0.010976804082137002,881,0.023283360341394173,False,STRONG_EDGE_ONLY
receptions,week_bucket,LATE_13_18,1702,0.54524089306698,-0.0059624735375417865,866,-0.06229521350954364,836,0.0523917762420678,False,STRONG_EDGE_ONLY
receptions,week_bucket,EARLY_1_6,1900,0.5326315789473685,-0.015905733433924703,938,-0.0004438246205981188,962,-0.030981898160432318,False,STRONG_EDGE_ONLY
receptions,component_sd_q,SD_Q1_LOW,3898,0.5495125705489995,0.004616234345626434,1944,-0.008542217633661085,1954,0.017707345219595185,False,STRONG_EDGE_ONLY
receptions,component_sd_q,SD_Q2,1469,0.517358747447243,-0.032371653718479054,744,-0.06379218564806152,725,-0.000127687159017853,False,STRONG_EDGE_ONLY
receptions,prob_edge_q,EDGE_Q4_HIGH,1231,0.5223395613322502,0.028495133429616057,599,0.029459408743088073,632,0.027581207934727237,True,STRONG_EDGE_ONLY
receptions,prob_edge_q,EDGE_Q3,1957,0.5625958099131323,-0.0006392176483246975,972,-0.03862327496795329,985,0.03684352723967427,False,STRONG_EDGE_ONLY
receptions,prob_edge_q,EDGE_Q2,1427,0.54239663629993,-0.016941480855203625,734,-0.026676891547754752,693,-0.006630093483872406,False,STRONG_EDGE_ONLY
receptions,prob_edge_q,EDGE_Q1_LOW,752,0.5106382978723404,-0.05214221405173437,383,-0.06420621768721177,369,-0.03962049754119821,False,STRONG_EDGE_ONLY
receptions,side,OVER,635,0.5700787401574803,0.022336305792637293,275,-0.006314783189729896,360,0.044222554320834474,False,STRONG_EDGE_ONLY
receptions,side,UNDER,4732,0.536770921386306,-0.009244174135992935,2413,-0.025831285464077588,2319,0.008015290993230123,False,STRONG_EDGE_ONLY
