market,tier,matched_rows,decided_bets,wins,losses,win_rate,units,roi_per_unit,model_mae,vegas_mae
rec_yards,ALL_NO_FILTER,5853,5853,3011,2842,0.5144370408337605,-186.33514192751107,-0.03183583494404768,20.88399389407472,19.820861096873397
rec_yards,LEAN_OR_STRONG,5535,5535,2850,2685,0.5149051490514905,-170.8973507849317,-0.03087576346611232,20.89943102588868,19.772628726287262
rec_yards,STRONG_ONLY_PLAY_TIER,5220,5220,2693,2527,0.5159003831417625,-151.07831900198315,-0.028942206705360757,21.025000046710794,19.83448275862069
receptions,ALL_NO_FILTER,5702,5702,3080,2622,0.5401613468958261,-38.14378622550383,-0.006689545111452794,1.621695393027329,1.5320940021045246
receptions,LEAN_OR_STRONG,5456,5456,2948,2508,0.5403225806451613,-33.28864415187496,-0.006101291083554795,1.6305876378124011,1.5359237536656891
receptions,STRONG_ONLY_PLAY_TIER,5236,5236,2831,2405,0.5406799083269671,-25.517255158776997,-0.004873425354999426,1.6424479307062407,1.5423987776928954
rush_rec_yards,ALL_NO_FILTER,2591,2591,1321,1270,0.5098417599382478,-114.91095696925566,-0.04435004128493079,32.52992728445607,27.041489772288692
rush_rec_yards,LEAN_OR_STRONG,2513,2513,1280,1233,0.5093513728611222,-113.45077544385674,-0.04514555330038072,32.93587533425373,27.25726223637087
rush_rec_yards,STRONG_ONLY_PLAY_TIER,2448,2448,1248,1200,0.5098039215686274,-108.30301452296345,-0.04424142750121056,33.040481981807446,27.214460784313726
rush_yards,ALL_NO_FILTER,2757,2757,1389,1368,0.5038084874863983,-127.99124609115377,-0.04642410086730278,20.719637663267438,19.041893362350383
rush_yards,LEAN_OR_STRONG,2609,2609,1325,1284,0.5078574166347259,-99.61756451155523,-0.03818227846360875,20.967400424478026,19.209850517439634
rush_yards,STRONG_ONLY_PLAY_TIER,2449,2449,1252,1197,0.5112290730910576,-77.0250142204352,-0.03145161870985512,21.461767291822056,19.59187423438138
pass_yards,ALL_NO_FILTER,812,812,418,394,0.5147783251231527,-25.572404622158565,-0.031493109140589365,59.70137966467363,56.79802955665025
pass_yards,LEAN_OR_STRONG,757,757,386,371,0.5099075297225891,-30.39091801356843,-0.0401465231354933,59.828080899678966,56.69682959048877
pass_yards,STRONG_ONLY_PLAY_TIER,721,721,362,359,0.5020804438280166,-39.4650359131607,-0.054736526925326906,60.21397116303386,56.874479889042995
ALL_MARKETS,ALL_NO_FILTER,17715,17715,9219,8496,0.5204064352243861,-492.9535358355829,-0.027826900131842105,18.14098370377816,16.563957098504094
ALL_MARKETS,LEAN_OR_STRONG,16870,16870,8789,8081,0.5209839952578542,-447.645252905787,-0.02653498831688127,18.217931034007,16.559395376407824
ALL_MARKETS,STRONG_ONLY_PLAY_TIER,16074,16074,8386,7688,0.5217120816224959,-401.3886388173195,-0.02497129767433865,18.365534329145984,16.62436232425034
