market,rows,ev5_rows,ev5_coverage,edge3_rows,edge3_coverage,joint_rows,joint_coverage,ev5_but_not_edge3_rows,edge3_but_not_ev5_rows,ev_implies_edge_on_observed_rows,ev_required_p_stricter_share,median_model_p,median_market_novig_p,median_raw_implied_p,median_ev5_required_p,median_edge3_required_p,strong_mean_model_p,strong_mean_predicted_ev,strong_win_rate,strong_realized_roi
pass_yards,812,650,0.8004926108374384,729,0.8977832512315271,650,0.8004926108374384,0,79,True,1.0,0.6565,0.5,0.5305164319248826,0.5570422535211268,0.53,0.7131369230769231,0.34313970087424145,0.5,-0.058555274669197334
rec_yards,5853,4895,0.8363232530326329,5373,0.9179907739620707,4895,0.8363232530326329,0,478,True,0.9998291474457544,0.685,0.5,0.5327102803738317,0.5593457943925233,0.53,0.7290696629213482,0.37373328872121697,0.5176710929519919,-0.02433318269552766
receptions,5702,5110,0.896176780077166,5383,0.9440547176429323,5110,0.896176780077166,0,273,True,0.9996492458786391,0.747,0.5101214574898786,0.5412844036697247,0.568348623853211,0.5401214574898786,0.7588341487279844,0.4254064520700097,0.5309197651663405,-0.010521115716128182
rush_rec_yards,2591,2334,0.9008104978772674,2448,0.944808954071787,2334,0.9008104978772674,0,114,True,0.9996140486298727,0.817,0.5,0.5348837209302325,0.5616279069767441,0.53,0.8222675664095972,0.5423104586028022,0.5102827763496144,-0.043277892110344024
rush_yards,2757,2335,0.8469350743561842,2516,0.9125861443598113,2335,0.8469350743561842,0,181,True,0.9898440333696047,0.698,0.5,0.5327102803738317,0.5593457943925233,0.53,0.7361029978586724,0.41563684224972236,0.5190578158458244,-0.018038619322209303
ALL_MARKETS,17715,15324,0.8650296359017782,16449,0.9285351397121084,15324,0.8650296359017782,0,1125,True,0.9981936212249506,0.72,0.5,0.5348837209302325,0.5616279069767441,0.53,0.7535859109892978,0.421727803508771,0.520425476376925,-0.023105294664702614
