season,week,team,opponent,player_clean_key,actual_pass_yards,actual_attempts,pred_pass_yards,pred_attempts,pred_ypa,actual_qb_attempt_share,actual_ypa,implied_pred_ypa,det_pass_yards
2024,2,JAX,CLE,trevorlawrence,220,30,199.3383241,27.64381743,7.162266434,1,7.333333333,7.210955023,197.9923857
2024,2,KC,CIN,patrickmahomes,151,25,202.502208,27.91699449,7.224737856,1,6.04,7.253725255,201.6929669
2024,2,LAC,CAR,justinherbert,130,20,206.958368,30.15844489,6.852147461,1,6.5,6.862368693,206.6501116
2024,2,LAR,ARI,matthewstafford,216,27,283.4062711,38.26044284,7.458571725,1,8,7.40729197,285.3682572
2024,2,LV,BAL,gardnerminshew,276,38,207.1241222,29.82530357,6.903933494,1,7.263157895,6.944577169,205.9119123
2024,2,MIN,SF,samdarnold,268,26,158.5402034,27.67788462,5.763103215,1,10.30769231,5.728046256,159.5105058
2024,2,NE,SEA,jacobybrissett,149,27,222.0085425,29.66750087,7.444093212,1,5.518518519,7.483223596,220.8476419
2024,2,NO,DAL,derekcarr,243,16,209.3605402,29.41346154,7.061586356,1,15.1875,7.117847721,207.7056987
2024,2,NYG,WAS,danieljones,178,28,210.998594,34.97250795,6.033663347,1,6.357142857,6.033270315,211.0123394
2024,2,NYJ,TEN,aaronrodgers,176,30,139.3026577,22.36607735,6.226905688,1,5.866666667,6.228300809,139.2714543
2024,2,PHI,ATL,jalenhurts,183,30,250.5653596,35.3525369,7.118653262,1,6.1,7.087620341,251.6624521
2024,2,PIT,DEN,justinfields,117,20,197.8022591,28.92727151,6.828513382,1,5.85,6.837916221,197.5302606
2024,2,SEA,NE,genosmith,327,44,233.476358,32.54539185,7.129129997,1,7.431818182,7.173868396,232.0203293
2024,2,SF,MIN,brockpurdy,319,36,286.656722,33.79144135,8.50907531,1,8.861111111,8.483116155,287.5339192
2024,2,TB,DET,bakermayfield,185,19,206.4975292,28.91901602,7.156006222,1,9.736842105,7.140544792,206.9446586
2024,2,TEN,NYJ,willlevis,192,28,200.5955917,29.60571059,6.784292412,1,6.857142857,6.775570919,200.8537977
2024,2,WAS,NYG,jaydendaniels,226,29,192.9608347,27.29246374,7.075647317,1,7.793103448,7.070114174,193.1118478
2024,3,ARI,DET,kylermurray,207,34,199.4700168,28.50693612,6.980512597,1,6.088235294,6.997245019,198.9930267
2024,3,ATL,KC,kirkcousins,230,29,237.4190612,32.8842369,7.226607596,1,7.931034483,7.219844022,237.6414762
2024,3,BAL,DAL,lamarjackson,182,15,236.5218702,31.16444928,7.555507315,1,12.13333333,7.589476975,235.4632245
2024,3,BUF,JAX,joshallen,263,30,192.1464204,26.02834123,7.336461903,0.9677419355,8.766666667,7.382199989,190.9559339
2024,3,CHI,IND,calebwilliams,363,52,198.627866,32.12494264,6.174595799,1,6.980769231,6.182979629,198.3585359
2024,3,CIN,WAS,joeburrow,324,38,190.0039533,29.33241903,6.483363998,1,8.526315789,6.477609403,190.1727495
2024,3,CLE,NYG,deshaunwatson,196,37,205.4608477,33.50808937,6.148081912,1,5.297297297,6.131678993,206.0104782
2024,3,DAL,BAL,dakprescott,379,51,235.695632,33.01492205,7.138815399,1,7.431372549,7.139063714,235.6874339
2024,3,DEN,TB,bonix,216,36,205.7572404,31.69394303,6.475181607,1,6,6.49200512,205.224037
2024,3,DET,ARI,jaredgoff,199,23,267.2989186,36.55012926,7.311943611,1,8.652173913,7.313214043,267.2524841
2024,3,IND,CHI,anthonyrichardson,167,20,211.7381433,29.97256757,7.059165038,1,8.35,7.064397898,211.5813011
2024,3,JAX,BUF,trevorlawrence,178,38,205.4168026,28.65874848,7.150898072,0.8260869565,4.684210526,7.167682243,204.9357893
2024,3,KC,ATL,patrickmahomes,217,39,205.4574133,28.78054097,7.138047007,1,5.564102564,7.138761345,205.4368543
2024,3,LAC,PIT,justinherbert,125,18,202.262232,30.64259836,6.612684896,0.9,6.944444444,6.600688024,202.6298474
2024,3,LAR,SF,matthewstafford,221,25,267.5306397,35.82588854,7.472014719,0.9615384615,8.84,7.467522807,267.6915665
2024,3,MIN,HOU,samdarnold,181,28,167.8729514,28.12220539,5.994708309,1,6.464285714,5.969409192,168.5844183
2024,3,NO,PHI,derekcarr,142,25,228.0723903,29.83285457,7.628261598,1,5.68,7.645007278,227.5728188
2024,3,NYG,CLE,danieljones,236,34,203.7613684,33.90426108,5.974461345,0.9714285714,6.941176471,6.009904416,202.5596973
2024,3,NYJ,NE,aaronrodgers,281,35,160.2017052,26.09967124,6.145134973,1,8.028571429,6.138073684,160.3860025
2024,3,PHI,NO,jalenhurts,311,38,230.2898072,32.73520436,7.041189336,1,8.184210526,7.034928045,230.4947719
2024,3,SEA,MIA,genosmith,289,34,240.2474089,33.50316763,7.128993996,1,8.5,7.170886396,238.8438809
2024,3,SF,LAR,brockpurdy,292,30,287.3055846,33.2037751,8.671767896,1,9.733333333,8.652798778,287.9354309
2024,3,TB,DEN,bakermayfield,163,33,193.3385682,26.82737927,7.268112643,1,4.939393939,7.206763144,194.9844145
2024,3,TEN,GB,willlevis,260,34,201.9832926,29.88311356,6.770290499,1,7.647058824,6.759111368,202.3173599
2024,3,WAS,CIN,jaydendaniels,254,23,207.8118055,29.04179173,7.118367157,1,11.04347826,7.155612416,206.7301364
2024,4,ARI,WAS,kylermurray,142,22,208.8551654,29.56663377,7.024384382,1,6.454545455,7.063880422,207.6874004
2024,4,ATL,NO,kirkcousins,238,35,240.7332132,32.96706016,7.30262692,1,6.8,7.302234777,240.746141
2024,4,BAL,BUF,lamarjackson,156,18,233.1847685,29.95413785,7.750598421,0.9473684211,8.666666667,7.784726426,232.1624936
2024,4,BUF,BAL,joshallen,180,29,193.1181015,26.43916554,7.369432592,0.935483871,6.206896552,7.304243444,194.8416482
2024,4,CHI,LAR,calebwilliams,157,23,215.7801593,34.75280737,6.192920247,1,6.826086957,6.208999376,215.2213644
2024,4,CIN,CAR,joeburrow,232,31,203.7088117,30.95637116,6.557137597,1,7.483870968,6.580513286,202.9851852
2024,4,CLE,LV,deshaunwatson,176,32,206.4389292,33.96561533,6.05171674,1,5.5,6.077879856,205.5502829
2024,4,DAL,NYG,dakprescott,221,27,255.2729773,36.06606641,7.113315471,1,8.185185185,7.07792678,256.5493082
2024,4,DEN,NYJ,bonix,60,25,198.8725298,31.43459911,6.351133272,1,2.4,6.326548942,199.6453283
2024,4,DET,SEA,jaredgoff,292,18,253.0329326,34.9343803,7.201757231,0.9473684211,16.22222222,7.243092061,251.588926
2024,4,GB,MIN,jordanlove,389,54,198.8540898,28.62139498,6.981805019,1,7.203703704,6.947742761,199.8289992
2024,4,HOU,JAX,cjstroud,345,40,232.4244333,30.57739008,7.570339935,1,8.625,7.601186127,231.4812372
2024,4,JAX,HOU,trevorlawrence,169,33,205.4094837,29.4669668,6.987322233,1,5.121212121,6.970839077,205.8951923
2024,4,KC,LAC,patrickmahomes,245,29,216.3619556,30.65312051,7.021457647,1,8.448275862,7.058399014,215.2295874
2024,4,LAC,KC,justinherbert,179,27,191.7830904,28.54804217,6.724245722,1,6.62962963,6.717906932,191.9640505
2024,4,LAR,CHI,matthewstafford,224,29,251.2725686,33.92767486,7.440177124,1,7.724137931,7.406124048,252.4279103
2024,4,LV,CLE,gardnerminshew,130,24,199.9616018,29.16683413,6.908207033,1,5.416666667,6.855786986,201.4905287
2024,4,MIN,GB,samdarnold,275,28,174.5699361,29.19399733,5.98567273,1,9.821428571,5.979651709,174.7457137
2024,4,NE,SF,jacobybrissett,168,32,197.0072709,27.80299471,7.064752688,1,5.25,7.085829169,196.4212816
2024,4,NO,ATL,derekcarr,239,36,223.8752029,29.77533338,7.491971334,1,6.638888889,7.518814315,223.0759442
2024,4,NYG,DAL,danieljones,281,40,201.0384953,33.36453102,5.996158793,1,7.025,6.025515396,200.059026
2024,4,NYJ,DEN,aaronrodgers,225,42,171.1029955,27.78350019,6.143966213,1,5.357142857,6.158439157,170.7008865
2024,4,PHI,TB,jalenhurts,158,30,234.5376954,33.01227122,7.067598167,1,5.266666667,7.104561023,233.3174676
2024,4,SEA,DET,genosmith,395,56,235.6027961,33.22598944,7.100532881,1,7.053571429,7.090918889,235.9222305
2024,4,SF,NE,brockpurdy,288,27,271.3443596,31.14611938,8.693889582,1,10.66666667,8.711979696,270.7809228
